Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"Can coffee certification schemes increase incomes of smallholder farmers? Evidence from Jinotega, Nicaragua","[; '; J; e; n; a; ,;  ; P; R; S; t; l; m; c; h; r; T; G; o; U; ]","This paper investigates the impact of Fairtrade and organic certification on household income of smallholder coffee farmers in the Jinotega Municipality of Nicaragua. Using a sample of 233 coffee farming households and employing endogenous switching regression model and propensity score matching method, the results found that Fairtrade and organic certification standards have different effects on the certified farmers; while Fairtrade farmers had experienced yield gains, organic farmers had the price advantage. However, the overall impact of these certification standards on the total household income is found to be statistically not significant. While some of the Fairtrade-certified cooperatives have used the social premium in creating community-level infrastructure, there is a need for more investment. The major constraint the organic-certified farmers face is lack of availability of adequate organic inputs such as manures and organic herbicides.",2017,,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,19,1,45-66,,10.1007/s10668-015-9732-0,,#6002,[ 2017,Exclusion reason: Does not focus on outcomes from a case study; ,
Profits and poverty: Certification's troubled link for Nicaragua's organic and fairtrade coffee producers,"[; '; B; e; u; c; h; l; t; ,;  ; T; D; Z; r; M; ]","Governments, donors and NGOs have promoted environmental and social certification schemes for coffee producers as certified market channels are assumed to offer higher prices and better incomes. Additionally, it is presumed that these certifications contribute to poverty reduction of smallholders. Yet, gross margins, profits and poverty levels of certified smallholder coffee producers have not yet been quantitatively analyzed applying random sampling techniques. Our quantitative household survey of 327 randomly selected members of conventional, organic and organic-fairtrade certified cooperatives in Nicaragua is complemented by over a hundred qualitative in-depth interviews. The results show that although farm-gate prices of certified coffees are higher than of conventional coffees, the profitability of certified coffee production and its subsequent effect on poverty levels is not clear-cut. Per capita net coffee incomes are insufficient to cover basic needs of all coffee producing households. Certified producers are more often found below the absolute poverty line than conventional producers. Over a period of ten years, our analysis shows that organic and organic-fairtrade farmers have become poorer relative to conventional producers. We conclude that coffee yield levels, profitability and efficiency need to be increased, because prices for certified coffee cannot compensate for low productivity, land or labor constraints. (C) 2011 Elsevier B.V. All rights reserved.",2011,,ECOLOGICAL ECONOMICS,70,7,1316-1324,,10.1016/j.ecolecon.2011.01.005,,#6004,[ 2011,Exclusion reason: Only compares impacts from ancillary services from the value chain amongst participants; ,
"Global value value chains, large-scale farming, and poverty: Long-term effects in Senegal","[; '; V; a; n;  ; d; e; B; r; o; c; k; ,; G; S; w; i; J; M; t; s; ]","This paper presents panel data evidence on the impact of expansion of global value chains and large-scale export-oriented farms in developing countries over almost a decade. We estimate the income effects of wage employment on large-scale farms in the horticultural export sector in Senegal, using data from two survey rounds covering a seven-years period of rapid expansion of the sector. We estimate average income effects as well as heterogeneous income effects, using fixed effects and quantile fixed effects regressions. We find that poverty and inequality reduced much faster in the research area than elsewhere in Senegal. Employment in the horticultural export sector is associated with higher household income and the income effect is strongest for the poorest households. Expansion of the horticultural export sector in Senegal has been particularly pro-poor through creating employment that is accessible and creates substantial income gains for the poorest half of the rural population. These pro-poor employment effects contrast with insights in the literature on increased inequality from rural wage employment. (C) 2016 Elsevier Ltd. All rights reserved.",2017,,FOOD POLICY,66,,97-107,,10.1016/j.foodpol.2016.12.003,,#6008,[ 2017,Exclusion reason: Does not focus on outcomes from a case study; ,
"Impact pathways of voluntary sustainability standards on smallholder coffee producers in Honduras: Price premiums, farm productivity, production costs, access to credit","[; '; E; s; t; r; e; l; a; ,;  ; A; N; v; i; c; h; o; D; K; n; B; z; T; ]","Coffee production in Honduras is under constant economic pressure, social unrest, and climate challenges. This largely affects the living conditions of thousands of smallholder coffee producers as the weakest actors in the coffee value chain and exacerbates the level of poverty and inequality that they face. A considerable part of the coffee production in Honduras is under different Voluntary Sustainability Standards (VSS); a major goal of these standards is to improve the livelihoods of smallholder farmers. Thus, this paper assesses the economic impact of Fairtrade, UTZ, and 4C on smallholder producers against a control group, using Propensity Score Matching with data of the coffee year 2015/2016. The main economic variables studied in this paper are gross profit, household income, and poverty likelihood. In addition, this study develops a conceptual framework to explore different impact pathways -price premium, farm productivity, production costs, and access to credit- that could improve farm performance and ultimately the economic conditions of farmers. The results of this study suggest that smallholder coffee producers in Honduras are not obtaining a higher economic impact from the different cer-tifications assessed. Among the pathways, only the price premium was statistically significant for the three certifications assessed, displaying higher prices per unit than the control group. In line with their economic conditions, these producers have a probability between 56% and 58% of living under the national poverty line according to the Poverty Probability Index (PPI), concluding that certifications do not always improve the livelihood of coffee producers.",2022,,WORLD DEVELOPMENT PERSPECTIVES,27,,-,,10.1016/j.wdp.2022.100435,,#6015,[ 2022,Exclusion reason: Only compares impacts from ancillary services from the value chain amongst participants; ,
Do Private Sustainability Standards Contribute to Income Growth and Poverty Alleviation ? A Comparison of Different Coffee Certification Schemes in Ethiopia,"[; '; M; i; t; k; u; ,;  ; F; d; e; y; Y; N; s; n; J; a; r; ]","Private sustainability standards are increasingly important in food trade with developing countries, but the implications for smallholder farmers are still poorly understood. We analyze the implications of different coffee certification schemes in Ethiopia using cross-sectional survey data, and regression and propensity-score-matching techniques. We find that: Rainforest Alliance (RA) and double Fairtrade-Organic (FT-Org) certifications are associated with higher incomes and reduced poverty, mainly because of higher prices; Fairtrade (FT) certification hardly affects welfare; and Organic (Org) certification reduces incomes, chiefly due to lower yields. Cooperative heterogeneity importantly shapes these results. Results imply that private standards may not always deliver what they promise to consumers.",2017,,SUSTAINABILITY,9,2,-,,10.3390/su9020246,,#6016,[ 2017,Exclusion reason: Only compares impacts from ancillary services from the value chain amongst participants; ,
Impact of value chain participation on household food insecurity among smallholder vegetable farmers in Swayimane KwaZulu-Natal,"[; '; N; d; l; o; v; u; ,;  ; P; T; h; a; m; g; -; C; i; t; j; J; M; O; ]","South Africa has largely been characterized as food secure at the national level but food insecure at a household level. This paper explores the impact of value chain participation on food insecurity among smallholder farmers in Swayimane KwaZulu-Natal. Purposive sampling technique was used to sample 51 smallholder vegetable farmers who were value chain participants at various levels. The study uses the Household Food Insecurity Access scale (HFIAS) and the Instrumental Variable Poisson model to assess the household food security status and the factors that influence the food security status among the smallholder farmers. The results show that 66.7% of the farmers in the sample were food secure, 17.65% were mildly food insecure, 7.84% were moderately food insecure and 7.84% were severely food insecure. Value chain participation, age of the household head, marital status, formal education, farm income, lease rent on land, access to NGOs, access to agricultural agency, access to credit, access to television, access to extension services and access to an irrigation scheme were significant in impacting household food insecurity. The study concluded that participation in value chains was significant in reducing food insecurity among smallholder farmers in Swayimane and therefore, strategies focusing on enhancing value chain participation among farmers should be adopted along with interventions that enhance value chain participation among smallholder farmers. As empirically posited by the results of this study, the more households are involved in the vegetable value chain, the better the household food intake and food security they become. (c) 2022 The Author(s). Published by Elsevier B.V. on behalf of African Institute of Mathematical Sciences / Next Einstein Initiative. This is an open access article under the CC BY license ( http://creativecommons.org/licenses/by/4.0/ )",2022,,SCIENTIFIC AFRICAN,16,,-,,10.1016/j.sciaf.2022.e01168,,#6021,[ 2022,Exclusion reason: Does not focus on outcomes from a case study; ,
Strengthening collective action to improve marketing performance: evidence from farmer groups in Central Africa,"[; '; O; c; h; i; e; n; g; ,;  ; J; K; r; B; w; u; o; G; m; a; E; ]","Purpose: Several development organisations have implemented programs to enhance smallholder farmers' crop productivity and market access through collective action with mixed results. Therefore, this study examines the drivers of success of collective action initiatives as a pathway to improving farmers marketing performance using data from Rwanda and the Democratic Republic of Congo.Design/methodology/approach: This study uses primary data collected from 30 farmer groups through focus group discussions. These groups are assessed for differences in their marketing performance using descriptive and cluster analysis techniques.Findings: Most of the group members are poor (67%) and few are considered as rich (2%) or middle class (28%), while the rest are destitute. The destitute community members are often excluded from the groups due to their own passivity and inability to contribute financial resources for joint activities. Mature farmer groups with strong internal structures and greater participation in product bulking as well as formally organised groups with stable external links significantly have higher marketing performance.Practical implications: We recommend that for farmers to maximise the benefits of collective action, supportive policies are necessary to encourage the formation of groups and transform existing ones into business entities to access high-value markets and perhaps even export markets. Farmer groups need to intensify their market research to access ready and stable markets such as supermarkets and institutions with larger volumetric requirements.Theoretical implications: The study shows that collective action is important for smallholder farmers in developing countries to sustainably access markets and increase their marketing performance.Originality/Value: Few studies have examined how social capital and collective action are utilised to improve smallholder farmers marketing performance, particularly in Central Africa.",2018,,JOURNAL OF AGRICULTURAL EDUCATION & EXTENSION,24,2,169-189,,10.1080/1389224X.2018.1432493,,#6023,[ 2018,Exclusion reason: Does not focus on outcomes from a case study; ,
Heterogeneous welfare effects of farmer groups in smallholder irrigation schemes in South Africa,"[; '; P; h; a; k; t; i; ,;  ; S; n; y; o; l; F; r; s; e; G; C; M; J; ]","This paper analyses the heterogeneous effects of membership of a farmer group on access to water, use of inorganic fertiliser, household incomes, and farm asset holdings. A sample of 401 irrigators in South Africa was analysed using propensity score matching. The study found that group membership had a positive effect on all four outcomes. Group members had an extra four days of access to water in a month, and applied at least 130 kg/ha more inorganic fertiliser, than non-group members. Group members had a higher household income per capita and more assets than nongroup members. However, the result revealed a heterogeneous effect among group members, with the benefits varying according to members' socio-economic characteristics as well as internal group dynamics. The government and private donors should continue to promote the formation and organisation of farmers into groups. The role of group membership in farming outcomes can be enhanced if smaller groups are promoted. It is also crucial that strategies for promoting trust, reciprocity and group commitment be implemented for better group outcomes.",2021,,AFRICAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS-AFJARE,16,1,27-45,,,,#6025,[ 2021,Exclusion reason: Only compares impacts from ancillary services from the value chain amongst participants; ,
Correlates and consequences of women's participation in the cowpea value chain in eastern Zambia,"[; '; G; o; n; d; w; e; ,;  ; T; g; b; a; r; u; A; O; l; j; i; E; K; h; M; J; y; H; ]","This paper analyses the link between gender differences and different activities along the cowpea value chain as well as food security and asset-based poverty using a recent cross-sectional data set of over 120 farm households in Eastern Zambia. We used the endogenous switching probit regression model to account for both observed and unobserved heterogeneity. Results show that women's participation in the cowpea value chain significantly increases cowpea production, marketing and adoption of improved cowpea varieties. It also reduces both food insecurity and poverty. However, women's participation in the value chain is limited by low levels of education, access to extension, credit, village markets, and improved agricultural technologies. Policies to address these constraints that limit women's participation in the cowpea value chain have the potential to reduce gender disparities, food insecurity, and poverty.",2017,,AGREKON,56,3,263-273,,10.1080/03031853.2017.1317643,,#6041,[ 2017,Exclusion reason: Does not focus on outcomes from a case study; ,
IMPACT OF CONTRACT FARMING ON SMALL FARMERS' INCOME – LEARNINGS FROM A META - ANALYSIS,"[; '; B; a; n; d; y; o; p; h; ,;  ; P; r; b; i; K; u; m; ]","The role of contract farming in increasing the economic condition of farmers is a focus area for the government, academics and media, particularly in the context of developing countries for some time. Several studies have been conducted but there is no consensus on this debatable issue. These studies are mostly single study. Campbell collaboration recently has conducted a meta-analysis considering large number of systematic reviews and single studies conducted across several countries. The report has been critically reviewed and the present paper is based on this critical review findings. The report indicates that contract farming is beneficial for large farmers but to what extent the small farmers are affected is not clear.",2021,,Management Accountant,56,10,90-,,,,#6043,[ 2021,Exclusion reason: Does not focus on outcomes from a case study; ,
Value chain approaches to development: Smallholder farmer perceptions of risk and benefits across three cocoa chains in Ghana,"[; '; R; i; c; k; e; t; s; ,;  ; K; a; D; T; u; r; v; y; C; l; m; G; ó; z; M; g; I; ]","Purpose - The purpose of this paper is to look at the ever-popular, ""value-chain approach"" for linking smallholder farmers to high value export markets. Conventional wisdom says that value chains undertaken for development purposes redistribute risk and provide benefits and services to participants that are otherwise difficult or impossible to obtain. The authors take a farmer-centric approach and ask farmers participating in these higher value chains if they perceive greater, or different risks and compare results to their conventional counterparts. The authors also ask what benefits they associate with participation and if they believe they believe those benefits are exclusive to value chain participation. Design/methodology/approach - The authors collect data from growers in three different cocoa value chains in Ashanti, Ghana. These chains include one focussed on certified production practices (Rainforest Alliance), one that focussed on high-value product characteristics (Fine Flavor) and a conventional chain, which serves as counterfactual. Findings - The paper finds differences in perceptions of participation risks and benefits - particularly among price risks - that appear to filter based on value chain membership. However, for many risks, value chain participation seems to do little to redistribute potential production shocks. With some exceptions, growers report that many of the benefits they enjoy as a result of participation could feasibly be accessed by other sources. Research limitations/implications - The limitations of this paper are related to sample size. This was managed from a statistical perspective. Social implications - The authors explore how these results might impact the sustainability of the value chain approach and encourage donors and development agencies to be thoughtful and critical about measuring how farmers perceive new market opportunities. Originality/value - The authors believe that this is the first paper prepared to critically investigate the perceived benefits of value chains.",2014,,Journal of Agribusiness in Developing and Emerging Economies,4,1,Feb-22,,,,#6048,[ 2014,Exclusion reason: Insufficient information on value and/or inclusion outcomes; ,
Can commercial farming promote rural dynamism in sub-Saharan Africa? Evidence from Mozambique,"[; '; G; l; o; v; e; r; ,;  ; S; t; n; J; s; a; m; ]","The impact of commercial farms on smallholders in developing countries remains highly controversial. This study draws on four periods of investments in commercial farming in Mozambique to frame an empirical analysis of their contemporary economic spillovers. We investigate the degree of selection of commercial farms into more favourable locations as well as the extent of heterogeneity in the effects of different commercial farming models on proximate smallholders. The analysis uses survey data covering all large commercial farms in Mozambique and which are linked to a nationally-representative survey of 6000 smallholders. Contrary to widespread assumptions that investors target only marginal farm land, we find that commercial farms are highly selective in their locations, preferring areas close to existing infrastructure and markets. Controlling for selection bias via reweighting and fixed effects, we find the presence of a commercial farm is associated with moderately higher incomes among neighbouring smallholders but a lower incidence of wage employment. Furthermore, these effects vary according to the type of commercial farming in place. More inclusive commercial models, such as those associated with outgrower schemes, appear to generate larger benefits. We conclude that broad generalizations about commercial farming investments must be replaced by more nuanced discussions of alternative investment models.",2019,,World Development,114,,110-,,https://doi.org/10.1016/j.worlddev.2018.09.029,,#6050,[ 2019,Exclusion reason: Insufficient information on value and/or inclusion outcomes; ,
Can private food standards promote gender equality in the small farm sector?,"[; '; M; e; m; k; n; ,;  ; E; Q; a; i; ]","Agricultural commercialization can help to lift subsistence farmers out of poverty, but can also have adverse effects on gender equality. We explore whether private food standards - with their particular elements to regulate production and trade-could serve as a vehicle to promote gender equality in the small farm sector. We use gender-disaggregated data from coffee producers in Uganda and focus on two sustainability standards that explicitly address gender issues, namely Fairtrade and UTZ. Entropy balancing techniques, combined with estimates of farmers' willingness to accept standards, are used to control for possible selection bias when comparing certified and non-certified households. We find that standards and their certification programs increase wealth in male-headed and female-headed households. In male-headed households, standards also change the intra-household distribution of asset ownership: while in non-certified households, assets are predominantly owned by the male household head alone, in certified households most assets are jointly owned by the male head and his female spouse. Standards also improve access to agricultural extension for both male and female farmers. Effects on women's access to financial services are statistically insignificant. Private standards cannot completely eliminate gender disparities, but the findings suggest that they can contribute towards this goal.",2018,,JOURNAL OF RURAL STUDIES,58,,39-51,,10.1016/j.jrurstud.2017.12.030,,#6055,[ 2018,Exclusion reason: Only compares impacts from ancillary services from the value chain amongst participants; ,
Women's empowerment and gender equality in agricultural value chains: evidence from four countries in Asia and Africa,"[; '; P; r; o; -; W; E; A; I;  ; M; a; k; e; t; n; c; l; u; s; i; S; d; y; T; ,; Q; m; b; g; H; J; F; R; G; h; K; p; ]","Women play important roles at different nodes of both agricultural and off-farm value chains, but in many countries their contributions are either underestimated or limited by prevailing societal norms or gender-specific barriers. We use primary data collected in Asia (Bangladesh, Philippines) and Africa (Benin, Malawi) to examine the relationships between women's empowerment, gender equality, and participation in a variety of local agricultural value chains that comprise the food system. We find that the value chain and the specific node of engagement matter, as do other individual and household characteristics, but in different ways depending on country context. Entrepreneurship-often engaged in by wealthier households with greater ability to take risks-is not necessarily empowering for women; nor is household wealth, as proxied by their asset ownership. Increased involvement in the market is not necessarily correlated with greater gender equality. Education is positively correlated with higher empowerment of both men and women, but the strength of this association varies. Training and extension services are generally positively associated with empowerment but could also exacerbate the inequality in empowerment between men and women in the same household. All in all, culture and context determine whether participation in value chains-and which node of the value chain-is empowering. In designing food systems interventions, care should be taken to consider the social and cultural contexts in which these food systems operate, so that interventions do not exacerbate existing gender inequalities.",2021,,FOOD SECURITY,13,5,1101-1124,,10.1007/s12571-021-01193-5,,#6057,[ 2021,Exclusion reason: Does not focus on outcomes from a case study; ,
Stakeholders' Preferences towards Contract Attributes: Evidence from Rice Production in Vietnam,"[; '; T; u; y; e; n; ,;  ; M; C; S; i; r; s; p; l; x; a; P; B; I; H; g; X; ]","Contract farming is typically considered an appropriate measure for small-scale farmers to solve their constraints and problems. However, despite positive effects, low participation in and high dropout rates from contract farming schemes remain challenges. Therefore, this study objects to evaluate preferences for contract attributes and attribute levels among contracting buyers, farmers, and government officials through data triangulation from key informant interviews, focus group discussions, and participant observations. Based on Henry Garrett Ranking, Rank Based Quotient, and Rank Based Sum methods, results indicate that the most important attributes were price options, payment, delivery arrangement, input provision, input-use requirements, and product quality standards. Despite a consensus on the ranking of the contract attributes, the preferences for the attribute levels among the stakeholders were heterogeneous. It is recommended that attributes and their levels should be pertinent in contract agreements. Thus, contract design with an adjusted or premium price, 50% of estimated payment before harvesting and the rest after delivery three to five days or lump-sum immediate payment, delivery after harvesting, inputs provision by the contractors through the representative branches or stores located at the local areas or cooperatives, banning active-ingredients or flexible use of inputs from the contractors to produce Good Agricultural Practices or organic products are considerable options.",2022,,SUSTAINABILITY,14,6,-,,10.3390/su14063478,,#6069,[ 2022,Exclusion reason: Does not focus on outcomes from a case study; ,
How Participation in Vegetables Market Affects Livelihoods: Empirical Evidence from Northern Ethiopia,"[; '; G; e; b; r; h; i; w; o; t; ,;  ; N; a; u; s; n; y; T; m; A; z; d; H; F; V; P; l; S; v; ]","Vegetable farmers face a number of challenges in marketing. Having first-hand information about vegetable marketing is essential to devise appropriate strategies aimed at enhancing the value of the vegetable chain. It was in line with this view that the study was conducted to characterize vegetable markets in Northern Ethiopia. In an effort to identify the factors influencing vegetable marketing among farmers, data were collected from 283 farm households who were selected using stratified random sampling. Furthermore, the data were triangulated through focus group discussion (FGD) and key informant interviews. Descriptive statistics and the binary logistic regression model were used to identify the variables and test the probability of their influence in regard to farmers' decisions in vegetable marketing. From the 13 explanatory variables included in the binary logistic regression model, six predictors were found to be statistically significant in determining the effects of participation decision on vegetable market. These variables are as follows: household family size, total land holding of the household, amount of vegetable produced and marketed, use of irrigation technologies, contact with extension agents, and access to market information. Relying on a survey result and observations, the findings of the study indicated that vegetable marketing is significantly improving the livelihood of smallholder producers.",2018,,Journal of International Food & Agribusiness Marketing,30,2,107-131,,https://doi.org/10.1080/08974438.2017.1402725,,#6073,[ 2018,Exclusion reason: Does not focus on outcomes from a case study; ,
GOOD FOR WHOM? SUPERMARKETS AND SMALL FARMERS IN SOUTH AFRICA - A CRITICAL REVIEW OF CURRENT APPROACHES TO INCREASING ACCESS TO MODERN MARKETS,"[; '; v; a; n;  ; d; e; r; H; i; j; ,; T; V; k; N; ]","Small-scale agriculture is one of the few tools available to support improved rural livelihoods on a significant scale in South Africa. Access to output markets is a key factor in generating higher incomes. The rise of modern markets (supermarkets in particular) is generally viewed as positive for the rural poor, although most commentators accede that there are challenges to be overcome in obtaining access to such markets. These challenges are generally perceived as supply-side issues: That is, the ""fault"" for market exclusion lies largely with small producers their production methods, their business organisation and their location - rather than with these markets themselves. This study asserts that much of the research that has been undertaken in this area is in fact incomplete, because it has excluded two key issues: The likely impact of the dominant supermarket business model on small farmers; and the actual position of small farmers in those countries with high levels of supermarket concentration. A closer examination of the supermarket model suggests it is inherently hostile towards smaller producers. The South African food retail market structure resembles that of industrialised countries rather than developing countries. Therefore, we should expect that the position of South African small farmers vis-a-vis supermarkets is similar to that of small farmers in industrialised countries, who are increasingly excluded from these value chains.",2013,,AGREKON,52,1,68-86,,10.1080/03031853.2013.778466,,#6080,[ 2013,Exclusion reason: Does not focus on outcomes from a case study; ,
Disruptive Innovations in Food Value Chains and Small Farmers in India,"[; '; R; a; o; ,;  ; N; .; C; h; n; d; r; s; e; k; S; u; t; j; i; b; T; m; ]","This keynote paper analyses the changes and increasing interactions in all nodes of value chains that include upstream (farmer-producers), midstream (processors, wholesalers and other logistics) and downstream (retailers) from a value chain perspective as well as with those of the sectoral innovation system. This paper focuses on domestic value chains and disruptive innovations at different nodes in value chain framework in its interaction with innovation systems. Also, it presents endogeneity corrected evidence on the impacts of supermarket procurement in a semi-arid region of the country. This paper presented evidence on impacts of supermarket procurement in a semi-arid region from a study of 254 vegetable growers that sell to both supermarkets and traditional markets. Analysing the data using different methods to control selection bias showed that there has been a significant and positive impact of participating in supermarket procurement on net income. Further, the entry into these new markets is not conditioned by land ownership, but rather by possession of irrigation. Forces of globalisation, changing demand pattern with rising incomes and urbanisation, rapid strides in information and communication technologies, and transformative roles for institutional actors in state, private sector and civil society have been altering the landscape of agricultural production and marketing in the last few years. Also, there are now increased interactions between retailers, wholesalers, processors, logistics, cold storages, farmers and consumers. Further, the entry into these new markets is not conditioned by land ownership, but rather by possession of irrigation. Therefore, policy makers may consider improving conditions for entry of resource poor farmers into these modern markets, which might become much more dominant in the years to come as happened elsewhere in other developing countries.",2017,,Indian Journal of Agricultural Economics,72,1,24-48,,,,#6088,[ 2017,Exclusion reason: Does not focus on outcomes from a case study; ,
The dynamics of horticultural export value chains on the livelihood of small farm households in Southern Ghana,"[; '; V; i; c; t; o; r; ,;  ; A; S; ]","Policy makers in developing countries have been concerned with the economic and political risks associated with heavy dependence on few specialized raw materials as main sources of government revenue and foreign exchange. Development partners and donor agencies have equally extolled the need for these countries to diversify their export base as a poverty reduction strategy. As a result, several African countries have tended to focus on non-traditional agricultural exports (NTEs) which reflect their comparative advantage and for many countries the export of horticultural crops has been favoured. This study focuses on a household survey undertaken in the forest and coastal savannah transition zones of Ghana, where the farming system has undergone a remarkable transition from an established system of food crop farming for sale to urban consumers to an intensive production of fruits and vegetable crops for export to European consumers. Econometric analysis shows that though export horticulture has a positive impact on the wellbeing of the majority of households, the chronically poor households are structurally impeded from seizing the available opportunities due to poor resource endowment and liquidity constraints.",2007,,AFRICAN JOURNAL OF AGRICULTURAL RESEARCH,2,9,435-440,,,,#6117,[ 2007,Exclusion reason: Does not focus on outcomes from a case study; ,
Smallholder participation and certification of organic farm products in Mexico,"[; '; G; o; n; z; a; l; e; ,;  ; A; N; i; g; h; R; ]","Organic and other environmental and social marketing devices seek to connect producers and consumers more directly and reward environmentally and socially superior production systems. Some researchers have observed that these schemes may introduce mechanisms of exclusion, creating an elite group of certified smallholders while putting non-certified farmers at a distinct disadvantage and introducing division among people whose true interest may lie more in relations of solidarity and cooperation The trade and regulatory environment that smallholder coops must navigate is increasingly complex and adaptation to its requirements has important implications for farmer organizations Standards applied to certify smallholder production systems tend to be developed with regard to first-world consumer interests and imposed in a top-down fashion by certification agencies and intermediaries, with little or no farmer participation. Especially in the tropics, agricultural standards that reflect temperate country conditions may place unnecessary burdens on growers who attempt to meet agronomic norms that are irrelevant to local agroecologies. After providing a summary of organic farming and certification in Mexico over the past two decades, we discuss three emerging trends the advent of contract agriculture in organic production, the appearance of a new, environmentally-based coffee certification system intended to favor bird conservation, and a recent government program to support transition to organic production. All three trends involve certain contradictions, both with the foundational social and ecological goals of organic agriculture and with the interests of small farmers. (c) 2005 Elsevier Ltd. All rights reserved.",2005,,JOURNAL OF RURAL STUDIES,21,4,449-460,,10.1016/j.jrurstud.2005.08.004,,#6122,[ 2005,Exclusion reason: Insufficient information on value and/or inclusion outcomes; ,
Which smallholders are willing to adopt Acacia mangium under long-term contracts? Evidence from a choice experiment study in Indonesia,"[; '; P; e; r; m; a; d; i; ,;  ; D; B; u; t; o; n; M; R; W; l; k; L; c; ]","Smallholder ownership of forests has grown rapidly over the last 25 years, leading to global forest transition; however, incentives are required to keep smallholders growing trees under long-term afforestation contracts. This article reports on smallholders' willingness to join afforestation programs, growing Acacia mangium under contract on their private farmland. In a Choice Experiment, we examine the effects of policy attributes of afforestation contracts, including contract duration, labour participation, timber insurance, training opportunities, road improvement, and expected income. We report the marginal value of changes in monetary terms. A scale-extended latent class model was used to analyse preference heterogeneity in data of 323 smallholders from three different regions in Indonesia (West Kalimantan, Yogyakarta, and South Sumatera). These regions are at different forest transition stages. Our results indicate that there are four latent preference classes, which value attributes of the contract differently. Individual characteristics (risk orientation, tree growing experiences, and occupation), and regional differences explain the probability of preference class membership. Our findings have important implications for enhancing afforestation strategies that improve social welfare of smallholders in various forest transition stages.",2017,,LAND USE POLICY,65,,211-223,,10.1016/j.landusepol.2017.04.015,,#6136,[ 2017,Exclusion reason: Does not focus on outcomes from a case study; ,
Role of cooperative companies in sustainable rice production and poverty alleviation in Guilan state of Iran,"[; '; M; o; t; a; m; e; d; ,;  ; K; ]","This study was conducted in the districts of Guilan state of Iran to assess the impact of cooperative companies on the economic condition of rice farmers in the Guilan state. The research was conducted in the 2005 to 2007 periods. Three hundred respondents were selected for the study comprising equal number of participants and non-participants of producer cooperatives. Data were collected using survey questionnaire with a reliability test of 88% using Kronback Alfa Coefficient. Data were analysed using descriptive and inferential statistics. The results showed that there were significant differences between members and non-members with respect to the production rate of paddy, income gained through sale of rice, level of participation, reduction of unemployment, increment of annual income and technical knowledge. Also, there was a positive correlation between the rate of paddy production per hectare with income resulting from the sale thereof, the income resulting from each hectare of the rice field with the annual income of the farmer, annual income of the farmer and rate of paddy produced and on participation in training courses and the production rate of paddy. According to above points, cooperative companies have a basic role in achievement sustainable rice production and reduction of poverty in Guilan state of Iran, thus cooperative companies should be organized and supported by government.",2010,,AFRICAN JOURNAL OF BIOTECHNOLOGY,9,11,1592-1599,,,,#6120,[ 2010,Exclusion reason: Insufficient information on value and/or inclusion outcomes; ,
Does contract farming improve rice yield In Ghana?,"['Mabe, FN', 'Danso-Abbeam, G', 'Sienso, G']","Contract farming has gained grounds in Ghana's rice production sub-sector but there is no conclusive evidence on whether or not the model improves rice yield. This study sought to identify factors influencing farmers' decision to participate in contract farming. Also, it estimated the effects of contract farming on rice yield. The study used a cross-sectional data. Heckman sample selection model was used to estimate the effects of contract farming on rice yield. The study showed that education, irrigation, extension contact and improved seed positively influenced contract farming engagement. Farming experience and farm size had negative relationship with contract farming engagement. Whilst fertilizer, capital, irrigation, improved seed and contract farming engagement highly increased rice yield, seed, labour and household size negatively affected yield. Conclusively, contract farming improves rice yield. It is recommended that farmers should be encouraged to go into contract farming. Extension service intensification and education are critical in this regard. The efforts of government in providing subsidized fertilizer and improved seeds to farmers through planting for food and jobs programme should be enhanced through contractual arrangement and the use of nucleus-farmer-out-grower model. The one-village-one-dam policy of government should include the establishment of irrigation facilities.",2019,,COGENT FOOD & AGRICULTURE,5,1,,,10.1080/23311932.2019.1643518,,#5823,[ 2019,Exclusion reason: Retracted article,
